Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Budapest;főváros, régió;1 759 209;1 739 569;1 719 342;1 705 309;1 697 343;1 698 106;1 696 128;1 702 297;1 712 210;1 721 556;1 733 685;1 727 495;1 730 350;1 733 837;1 741 601;1 738 570;1 728 929;1 723 033;1 722 363;1 717 144;1 690 503;1 672 443;1 671 004;1 686 222
Pest ;vármegye, régió;1 071 898;1 089 478;1 105 412;1 124 395;1 143 629;1 157 564;1 176 550;1 195 020;1 213 290;1 229 880;1 237 561;1 213 323;1 216 562;1 217 628;1 221 637;1 228 755;1 240 780;1 254 436;1 270 416;1 287 734;1 300 389;1 315 964;1 328 790;1 333 257
Közép-Magyarország;nagyrégió;2 831 107;2 829 047;2 824 754;2 829 704;2 840 972;2 855 670;2 872 678;2 897 317;2 925 500;2 951 436;2 971 246;2 940 818;2 946 912;2 951 465;2 963 238;2 967 325;2 969 709;2 977 469;2 992 779;3 004 878;2 990 892;2 988 407;2 999 794;3 019 479
Fejér;vármegye;428 115;428 922;428 409;428 579;428 798;428 332;428 711;428 572;428 295;427 416;426 120;421 927;421 073;419 416;417 571;418 365;416 062;416 567;417 568;418 418;418 634;418 542;419 565;419 490
Komárom-Esztergom;vármegye;316 998;317 110;315 515;315 886;315 544;314 783;315 036;314 649;314 450;312 431;311 411;303 864;302 839;301 450;300 331;299 591;299 204;299 445;301 371;303 341;302 138;300 869;301 492;301 834
Veszprém;vármegye;375 617;374 578;369 747;368 519;366 555;365 009;363 706;361 620;360 387;358 807;356 573;353 798;351 115;348 934;346 619;344 350;342 550;341 437;341 367;341 223;341 207;339 498;338 342;335 979
Közép-Dunántúl;régió;1 120 730;1 120 610;1 113 671;1 112 984;1 110 897;1 108 124;1 107 453;1 104 841;1 103 132;1 098 654;1 094 104;1 079 589;1 075 027;1 069 800;1 064 521;1 062 306;1 057 816;1 057 449;1 060 306;1 062 982;1 061 979;1 058 909;1 059 399;1 057 303
Győr-Moson-Sopron;vármegye;434 209;435 256;439 046;440 138;439 922;441 606;442 667;444 384;447 033;448 435;449 967;444 935;446 692;447 111;447 743;448 633;449 751;452 770;457 331;462 254;467 419;468 465;471 309;473 246
Vas;vármegye;269 149;268 591;267 429;266 342;265 229;264 361;263 251;261 877;260 950;259 364;257 688;256 215;254 583;253 121;251 762;250 783;249 811;249 590;249 429;249 572;248 920;248 909;249 812;248 199
Zala;vármegye;300 496;299 112;297 853;296 705;295 197;294 175;293 443;291 678;290 204;288 591;287 043;283 249;281 379;278 914;276 249;273 750;271 348;269 037;266 827;265 260;263 120;262 370;261 803;260 124
Nyugat-Dunántúl;régió;1 003 854;1 002 959;1 004 328;1 003 185;1 000 348;1 000 142;999 361;997 939;998 187;996 390;994 698;984 399;982 654;979 146;975 754;973 166;970 910;971 397;973 587;977 086;979 459;979 744;982 924;981 569
Baranya;vármegye;408 147;406 330;404 709;402 260;400 313;398 355;398 215;396 633;394 911;393 758;391 455;380 904;377 565;374 805;372 465;370 021;367 848;366 033;363 203;361 766;359 529;357 066;355 315;353 331
Somogy;vármegye;337 930;336 799;335 701;334 065;331 802;329 399;328 496;325 024;322 197;320 578;317 947;318 778;317 703;314 691;310 937;307 590;304 892;301 799;299 253;297 492;298 505;296 422;295 316;292 691
Tolna ;vármegye;251 594;250 337;248 998;247 287;245 350;242 946;240 966;238 431;235 874;233 650;231 183;231 533;229 632;227 360;224 998;222 431;220 523;217 968;215 946;213 839;211 692;209 569;208 044;206 398
Dél-Dunántúl;régió;997 671;993 466;989 408;983 612;977 465;970 700;967 677;960 088;952 982;947 986;940 585;931 215;924 900;916 856;908 400;900 042;893 263;885 800;878 402;873 097;869 726;863 057;858 675;852 420
Dunántúl;nagyrégió;3 122 255;3 117 035;3 107 407;3 099 781;3 088 710;3 078 966;3 074 491;3 062 868;3 054 301;3 043 030;3 029 387;2 995 203;2 982 581;2 965 802;2 948 675;2 935 514;2 921 989;2 914 646;2 912 295;2 913 165;2 911 164;2 901 710;2 900 998;2 891 292
Borsod-Abaúj-Zemplén;vármegye;753 497;749 104;744 484;738 143;731 854;725 779;718 951;709 634;701 160;692 771;684 793;688 922;682 753;675 767;668 706;662 223;656 394;650 520;644 955;639 793;635 644;629 621;624 219;617 800
Heves;vármegye;327 733;326 800;325 029;323 769;322 756;320 886;319 460;316 874;314 441;311 454;307 985;309 175;306 031;302 963;300 485;298 213;295 829;294 477;293 185;291 827;290 396;288 430;287 533;285 058
Nógrád ;vármegye;221 605;220 600;219 447;218 128;216 501;214 824;213 030;210 182;207 637;204 917;201 919;202 734;200 310;197 533;194 627;192 232;190 669;188 851;187 045;185 635;185 153;183 318;182 038;180 469
Észak-Magyarország;régió;1 302 835;1 296 504;1 288 960;1 280 040;1 271 111;1 261 489;1 251 441;1 236 690;1 223 238;1 209 142;1 194 697;1 200 831;1 189 094;1 176 263;1 163 818;1 152 668;1 142 892;1 133 848;1 125 185;1 117 255;1 111 193;1 101 369;1 093 790;1 083 327
Hajdú-Bihar;vármegye;553 264;552 478;551 837;550 265;549 372;547 357;545 641;543 802;542 192;541 298;539 674;543 452;540 881;538 607;535 929;533 324;530 531;528 397;525 661;524 151;523 648;521 802;520 656;520 550
Jász-Nagykun-Szolnok;vármegye;420 461;418 601;416 147;413 174;410 823;407 232;403 622;399 200;394 891;390 775;386 752;390 026;386 359;382 898;378 984;375 242;372 454;369 996;368 531;365 252;362 084;358 883;356 388;353 511
Szabolcs-Szatmár-Bereg;vármegye;589 989;587 994;586 193;583 564;581 623;578 573;576 054;571 018;565 326;560 429;555 496;565 317;562 220;558 502;558 310;557 823;556 145;551 798;545 799;541 289;537 757;531 855;527 968;524 513
Észak-Alföld;régió;1 563 714;1 559 073;1 554 177;1 547 003;1 541 818;1 533 162;1 525 317;1 514 020;1 502 409;1 492 502;1 481 922;1 498 795;1 489 460;1 480 007;1 473 223;1 466 389;1 459 130;1 450 191;1 439 991;1 430 692;1 423 489;1 412 540;1 405 012;1 398 574
Bács-Kiskun ;vármegye;547 954;545 989;544 116;541 584;540 499;537 862;536 290;533 710;530 379;528 418;524 841;521 852;519 514;516 084;512 470;509 935;506 266;503 788;501 836;500 040;497 956;495 675;494 563;491 632
Békés;vármegye;401 919;399 061;396 131;392 845;389 590;385 847;382 190;376 657;371 322;366 556;361 802;362 662;358 267;353 448;348 577;343 771;338 809;333 967;329 742;325 590;321 661;318 081;314 380;310 912
Csongrád-Csanád;vármegye;430 514;428 144;426 817;425 785;424 849;423 585;423 751;424 139;423 826;423 240;421 827;411 764;409 422;407 148;405 857;404 050;401 062;399 746;398 444;397 756;395 106;392 621;391 207;389 411
Dél-Alföld;régió;1 380 387;1 373 194;1 367 064;1 360 214;1 354 938;1 347 294;1 342 231;1 334 506;1 325 527;1 318 214;1 308 470;1 296 278;1 287 203;1 276 680;1 266 904;1 257 756;1 246 137;1 237 501;1 230 022;1 223 386;1 214 723;1 206 377;1 200 150;1 191 955
Alföld és Észak;nagyrégió;4 246 936;4 228 771;4 210 201;4 187 257;4 167 867;4 141 945;4 118 989;4 085 216;4 051 174;4 019 858;3 985 089;3 995 904;3 965 757;3 932 950;3 903 945;3 876 813;3 848 159;3 821 540;3 795 198;3 771 333;3 749 405;3 720 286;3 698 952;3 673 856
